run_accession	reads	Snodgrassella_alvi_frac	Bacillus_oleronius_frac	Cutibacterium_kroppenstedtii_frac	Bartonella_quintana_frac	Cutibacterium_acnes_frac	Staphylococcus_epidermidis_frac	mite_index
SRR13482653	67936	0.008155	0.009141	0.000530	0.000206	0.000427	0.000000	0.018032
SRR13482657	37578	0.000532	0.014184	0.000053	0.000027	0.000719	0.000027	0.014796
SRR13482660	40785	0.000539	0.025058	0.000049	0.000000	0.000392	0.000000	0.025647
SRR13482661	52265	0.010160	0.021200	0.000096	0.000038	0.001741	0.000000	0.031493
SRR13482664	59317	0.002259	0.026755	0.000067	0.000034	0.001096	0.000000	0.029115
SRR13482665	58821	0.001462	0.016202	0.000527	0.000170	0.000255	0.000000	0.018361
SRR13482669	47507	0.003705	0.022355	0.000021	0.000000	0.000358	0.000021	0.026080
SRR13482672	58764	0.002774	0.019927	0.000953	0.000034	0.004288	0.000000	0.023688
SRR13482674	55707	0.006786	0.016928	0.000054	0.000144	0.000646	0.000000	0.023911
SRR13482649	50345	0.005343	0.038872	0.002026	0.000079	0.000397	0.000000	0.046320
SRR13482650	57436	0.006529	0.019691	0.000087	0.000104	0.000331	0.000000	0.026412
SRR13482651	35648	0.004096	0.015877	0.000140	0.000000	0.000421	0.000000	0.020113
SRR13482654	50065	0.004314	0.012644	0.000200	0.000020	0.000360	0.000000	0.017178
SRR13482656	47870	0.005536	0.011761	0.000063	0.000063	0.000209	0.000000	0.017422
SRR13482658	48994	0.003817	0.013553	0.000041	0.000020	0.000469	0.000122	0.017431
SRR13482659	55145	0.005676	0.011896	0.000073	0.000054	0.000743	0.000036	0.017699
SRR13482670	51743	0.008098	0.017935	0.000213	0.000000	0.001662	0.000000	0.026245
SRR13482673	64885	0.003622	0.017415	0.000046	0.000092	0.000447	0.000015	0.021176
SRR13482644	50525	0.003978	0.020881	0.000099	0.000040	0.000218	0.000000	0.024998
SRR13482645	69057	0.004026	0.015321	0.000101	0.000072	0.000203	0.000000	0.019520
SRR13482646	71147	0.002291	0.018117	0.000028	0.000295	0.000197	0.000000	0.020732
SRR13482647	74663	0.006215	0.010045	0.000268	0.000871	0.000214	0.000000	0.017398
SRR13482648	67336	0.008658	0.009059	0.000416	0.000089	0.000089	0.000000	0.018222
SRR13482652	69628	0.008172	0.015410	0.000014	0.000230	0.000948	0.000000	0.023827
SRR13482655	72433	0.005633	0.004183	0.000166	0.000069	0.000276	0.000000	0.010051
SRR13482662	54308	0.008120	0.016498	0.000074	0.000000	0.000847	0.000018	0.024692
SRR13482663	60409	0.005165	0.021983	0.000083	0.000066	0.000149	0.000000	0.027297
SRR13482666	48491	0.003073	0.013570	0.000082	0.000041	0.000268	0.000000	0.016766
SRR13482667	50672	0.005822	0.016893	0.000039	0.000197	0.000355	0.000000	0.022952
SRR13482668	52937	0.001738	0.014168	0.000057	0.000057	0.001757	0.000000	0.016019
SRR13482671	61627	0.003262	0.030522	0.000049	0.000097	0.000308	0.000000	0.033930
