run_accession	reads	Snodgrassella_alvi_frac	Bacillus_oleronius_frac	Cutibacterium_kroppenstedtii_frac	Bartonella_quintana_frac	Cutibacterium_acnes_frac	Staphylococcus_epidermidis_frac	mite_index
SRR13482653	67936	0.008155	0.059659	0.000530	0.083093	0.000427	0.000000	0.151437
SRR13482657	37578	0.000532	0.110197	0.000053	0.032918	0.000719	0.000027	0.143701
SRR13482660	40785	0.000539	0.113449	0.000049	0.015177	0.000392	0.000000	0.129214
SRR13482661	52265	0.010160	0.046456	0.000096	0.030881	0.001741	0.000000	0.087592
SRR13482664	59317	0.002259	0.054183	0.000067	0.035622	0.001096	0.000000	0.092132
SRR13482665	58821	0.001462	0.036994	0.000527	0.041312	0.000255	0.000000	0.080294
SRR13482669	47507	0.003705	0.050308	0.000021	0.024102	0.000358	0.000021	0.078136
SRR13482672	58764	0.002774	0.048516	0.000953	0.044925	0.004288	0.000000	0.097168
SRR13482674	55707	0.006786	0.040426	0.000054	0.038667	0.000646	0.000000	0.085932
SRR13482649	50345	0.005343	0.109981	0.002026	0.020379	0.000397	0.000000	0.137730
SRR13482650	57436	0.006529	0.104186	0.000087	0.071297	0.000331	0.000000	0.182098
SRR13482651	35648	0.004096	0.089290	0.000140	0.017392	0.000421	0.000000	0.110918
SRR13482654	50065	0.004314	0.050454	0.000200	0.015300	0.000360	0.000000	0.070269
SRR13482656	47870	0.005536	0.119637	0.000063	0.021078	0.000209	0.000000	0.146313
SRR13482658	48994	0.003817	0.099033	0.000041	0.019288	0.000469	0.000122	0.122178
SRR13482659	55145	0.005676	0.125433	0.000073	0.025170	0.000743	0.000036	0.156351
SRR13482670	51743	0.008098	0.042614	0.000213	0.025240	0.001662	0.000000	0.076165
SRR13482673	64885	0.003622	0.047946	0.000046	0.073808	0.000447	0.000015	0.125422
SRR13482644	50525	0.003978	0.044196	0.000099	0.034339	0.000218	0.000000	0.082613
SRR13482645	69057	0.004026	0.033928	0.000101	0.054303	0.000203	0.000000	0.092358
SRR13482646	71147	0.002291	0.038723	0.000028	0.056236	0.000197	0.000000	0.097277
SRR13482647	74663	0.006215	0.034421	0.000268	0.096715	0.000214	0.000000	0.137618
SRR13482648	67336	0.008658	0.070883	0.000416	0.098239	0.000089	0.000000	0.178196
SRR13482652	69628	0.008172	0.043100	0.000014	0.086991	0.000948	0.000000	0.138278
SRR13482655	72433	0.005633	0.065357	0.000166	0.028357	0.000276	0.000000	0.099513
SRR13482662	54308	0.008120	0.080890	0.000074	0.017401	0.000847	0.000018	0.106485
SRR13482663	60409	0.005165	0.049844	0.000083	0.040093	0.000149	0.000000	0.095184
SRR13482666	48491	0.003073	0.073436	0.000082	0.028913	0.000268	0.000000	0.105504
SRR13482667	50672	0.005822	0.096168	0.000039	0.026405	0.000355	0.000000	0.128434
SRR13482668	52937	0.001738	0.111869	0.000057	0.040765	0.001757	0.000000	0.154429
SRR13482671	61627	0.003262	0.054765	0.000049	0.054019	0.000308	0.000000	0.112094
