run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
DRR574445	SAMD00794602	DRX557912	PRJDB18292	16S_Rosacea_4	SAMD00794602	Skin swab sample of non-lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794602		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794602	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574445	5352	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574445/DRR574445.fastq.gz	16S_Rosacea_4	Skin swab sample of non-lesional skin post-treatment with ivermectin	SAMD00794602	rosacea;lesion;pos
DRR574447	SAMD00794604	DRX557914	PRJDB18292	16S_Rosacea_6	SAMD00794604	Skin swab sample of lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794604		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794604	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574447	13116	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574447/DRR574447.fastq.gz	16S_Rosacea_6	Skin swab sample of lesional skin post-treatment with ivermectin	SAMD00794604	rosacea;lesion;pos
DRR574449	SAMD00794606	DRX557916	PRJDB18292	16S_Rosacea_8	SAMD00794606	Skin swab sample of non-lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794606		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794606	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574449	12784	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574449/DRR574449.fastq.gz	16S_Rosacea_8	Skin swab sample of non-lesional skin post-treatment with ivermectin	SAMD00794606	rosacea;lesion;pos
DRR574450	SAMD00794607	DRX557917	PRJDB18292	16S_Rosacea_9	SAMD00794607	Skin swab sample of lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794607		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794607	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574450	7704	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574450/DRR574450.fastq.gz	16S_Rosacea_9	Skin swab sample of lesional skin pre-treatment	SAMD00794607	rosacea;lesion
DRR574454	SAMD00794611	DRX557921	PRJDB18292	16S_Rosacea_13	SAMD00794611	Skin swab sample of lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794611		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794611	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574454	12015	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574454/DRR574454.fastq.gz	16S_Rosacea_13	Skin swab sample of lesional skin pre-treatment	SAMD00794611	rosacea;lesion
DRR574464	SAMD00794621	DRX557931	PRJDB18292	16S_Rosacea_23	SAMD00794621	Skin swab sample of non-lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794621		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794621	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574464	7790	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574464/DRR574464.fastq.gz	16S_Rosacea_23	Skin swab sample of non-lesional skin pre-treatment	SAMD00794621	rosacea;lesion
DRR574465	SAMD00794622	DRX557932	PRJDB18292	16S_Rosacea_24	SAMD00794622	Skin swab sample of non-lesional skin post-treatment with ivermectin	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794622		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794622	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574465	10614	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574465/DRR574465.fastq.gz	16S_Rosacea_24	Skin swab sample of non-lesional skin post-treatment with ivermectin	SAMD00794622	rosacea;lesion;pos
DRR574442	SAMD00794599	DRX557909	PRJDB18292	16S_Rosacea_1	SAMD00794599	Skin swab sample of lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794599		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794599	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574442	24509	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574442/DRR574442.fastq.gz	16S_Rosacea_1	Skin swab sample of lesional skin pre-treatment	SAMD00794599	rosacea;lesion
DRR574446	SAMD00794603	DRX557913	PRJDB18292	16S_Rosacea_5	SAMD00794603	Skin swab sample of lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794603		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794603	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574446	11990	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574446/DRR574446.fastq.gz	16S_Rosacea_5	Skin swab sample of lesional skin pre-treatment	SAMD00794603	rosacea;lesion
DRR574448	SAMD00794605	DRX557915	PRJDB18292	16S_Rosacea_7	SAMD00794605	Skin swab sample of non-lesional skin pre-treatment	Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794605		Illumina MiSeq sequencing: Illumina MiSeq sequencing of SAMD00794605	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	DRR574448	9726	ftp.sra.ebi.ac.uk/vol1/fastq/DRR574/DRR574448/DRR574448.fastq.gz	16S_Rosacea_7	Skin swab sample of non-lesional skin pre-treatment	SAMD00794605	rosacea;lesion
