run_accession	sample_accession	experiment_accession	study_accession	sample_title	sample_alias	sample_description	description	library_name	experiment_title	study_title	run_alias	read_count	fastq_ftp	sample_title_x	sample_desc_x	sample_alias_x	label_hits
ERR13999232	SAMEA117388070	ERX13400385	PRJEB82826	dustap-gl-si1b_S144_L001_R2_001.fastq.gz	dustap-gl-si1b_S144_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:451-373134	21854	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/032/ERR13999232/ERR13999232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/032/ERR13999232/ERR13999232_2.fastq.gz	dustap-gl-si1b_S144_L001_R2_001.fastq.gz	Human skin microbiome	dustap-gl-si1b_S144_L001_R2_001.fastq.gz	
ERR13999236	SAMEA117388074	ERX13400389	PRJEB82826	dustap-gl-si3b_S86_L001_R2_001.fastq.gz	dustap-gl-si3b_S86_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:459-373142	7974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/036/ERR13999236/ERR13999236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/036/ERR13999236/ERR13999236_2.fastq.gz	dustap-gl-si3b_S86_L001_R2_001.fastq.gz	Human skin microbiome	dustap-gl-si3b_S86_L001_R2_001.fastq.gz	
ERR13999240	SAMEA117388078	ERX13400393	PRJEB82826	dustap-gl-si5b_S62_L001_R2_001.fastq.gz	dustap-gl-si5b_S62_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:466-373150	14984	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13999240/ERR13999240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13999240/ERR13999240_2.fastq.gz	dustap-gl-si5b_S62_L001_R2_001.fastq.gz	Human skin microbiome	dustap-gl-si5b_S62_L001_R2_001.fastq.gz	
ERR13999243	SAMEA117388081	ERX13400396	PRJEB82826	dustap-glue-1b_S161_L001_R1_001.fastq.gz	dustap-glue-1b_S161_L001_R1_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:471-373156	191648	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/043/ERR13999243/ERR13999243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/043/ERR13999243/ERR13999243_2.fastq.gz	dustap-glue-1b_S161_L001_R1_001.fastq.gz	Human skin microbiome	dustap-glue-1b_S161_L001_R1_001.fastq.gz	
ERR13999244	SAMEA117388082	ERX13400397	PRJEB82826	dustap-glue-1b_S161_L001_R2_001.fastq.gz	dustap-glue-1b_S161_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:473-373158	178262	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/044/ERR13999244/ERR13999244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/044/ERR13999244/ERR13999244_2.fastq.gz	dustap-glue-1b_S161_L001_R2_001.fastq.gz	Human skin microbiome	dustap-glue-1b_S161_L001_R2_001.fastq.gz	
ERR13999247	SAMEA117388085	ERX13400400	PRJEB82826	dustap-glue-3b_S60_L001_R1_001.fastq.gz	dustap-glue-3b_S60_L001_R1_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:480-373164	178190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/047/ERR13999247/ERR13999247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/047/ERR13999247/ERR13999247_2.fastq.gz	dustap-glue-3b_S60_L001_R1_001.fastq.gz	Human skin microbiome	dustap-glue-3b_S60_L001_R1_001.fastq.gz	
ERR13999250	SAMEA117388088	ERX13400403	PRJEB82826	dustap-glue-4b_S65_L001_R2_001.fastq.gz	dustap-glue-4b_S65_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:487-373170	169122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/050/ERR13999250/ERR13999250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/050/ERR13999250/ERR13999250_2.fastq.gz	dustap-glue-4b_S65_L001_R2_001.fastq.gz	Human skin microbiome	dustap-glue-4b_S65_L001_R2_001.fastq.gz	
ERR13999253	SAMEA117388091	ERX13400406	PRJEB82826	dustap-glue-6b_S37_L001_R1_001.fastq.gz	dustap-glue-6b_S37_L001_R1_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:492-373176	85264	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/053/ERR13999253/ERR13999253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/053/ERR13999253/ERR13999253_2.fastq.gz	dustap-glue-6b_S37_L001_R1_001.fastq.gz	Human skin microbiome	dustap-glue-6b_S37_L001_R1_001.fastq.gz	
ERR13999256	SAMEA117388094	ERX13400409	PRJEB82826	dustap-hc01b_S143_L001_R2_001.fastq.gz	dustap-hc01b_S143_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:495-373182	210892	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13999256/ERR13999256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13999256/ERR13999256_2.fastq.gz	dustap-hc01b_S143_L001_R2_001.fastq.gz	Human skin microbiome	dustap-hc01b_S143_L001_R2_001.fastq.gz	
ERR13999262	SAMEA117388100	ERX13400415	PRJEB82826	dustap-hc04b_S68_L001_R2_001.fastq.gz	dustap-hc04b_S68_L001_R2_001.fastq.gz	Human skin microbiome	Illumina HiSeq 2000 sequencing	dustap_amplicon	Illumina HiSeq 2000 sequencing	Multi-omics study of microbe-host interactions in rosacea	ena-RUN-TAB-25-11-2024-19:31:12:503-373194	195222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/062/ERR13999262/ERR13999262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/062/ERR13999262/ERR13999262_2.fastq.gz	dustap-hc04b_S68_L001_R2_001.fastq.gz	Human skin microbiome	dustap-hc04b_S68_L001_R2_001.fastq.gz	
