bioproject	n_runs	strategies	median_spots	relevance	organism	title	sample_attrs
PRJEB82826	96	AMPLICON:96	82359	ROSACEA,DEMODEX	Homo sapiens	Multi-omics study of microbe-host interactions in rosacea	broad-scale environmental context;collection date;common name;ena first public;environmental medium;geographic location (country and/or sea);geographic location (latitude);geographic location (longitude);insdc center name;insdc status;local environmental context;project name
PRJNA1189573	93	AMPLICON:93	143466	ROSACEA,16S	metagenome	Skin, blood, stool microbiome in rosacea	biosamplemodel;collection_date;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;lat_lon
PRJNA693337	76	AMPLICON:76	86356	ROSACEA	human eye metagenome	Effects of Intense Pulsed Light on Tear Film TGF-beta and Microbiome in Ocular Rosacea with Dry Eye	biosamplemodel;collection_date;env_broad_scale;env_local_scale;env_medium;eye;geo_loc_name;host;labid;lat_lon
PRJNA856121	72	WGS:72	18907610	DEMODEX	human metagenome	Metagenomic profiling of ocular surface microbiome changes in Demodex blepharitis patients	biosamplemodel;collection_date;geo_loc_name;host;isolation_source;lat_lon;replicate
PRJNA1288008	66	AMPLICON:66	97713	ROSACEA	metagenome	Skin, blood, stool mycobiome in rosacea	biosamplemodel;collection_date;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;lat_lon
PRJNA861245	55	AMPLICON:55	168285	DEMODEX	mouse skin metagenome	Innate type 2 immunity controls hair follicle commensalism by Demodex mites	biosamplemodel;cage_id;collection_date;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;host_sex;investigator;lat_lon;mouse_strain
PRJNA879945	42	AMPLICON:42	66462	DEMODEX,TREATMENT	human eye metagenome	ocular surface microbiota in patients with Demodex blepharitis	biosamplemodel;collection_date;drug_usage;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;isolate;isolation_source;lat_lon
PRJNA1191396	34	AMPLICON:34	69119	ROSACEA,16S	human gut metagenome	Raw 16S rRNA Sequencing Data of Fecal Samples from Patients with Neurogenic Rosacea	biosamplemodel;collection_date;geo_loc_name;host;lat_lon
PRJNA692647	31	AMPLICON:31	55145	DEMODEX,16S	human metagenome	Demodex infection changes ocular surface microbial communities, in which meibomian gland dysfunction may play a role	biosamplemodel;collection_date;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;isol_growth_condt;lat_lon;strain
PRJDB18292	24	WXS:24	12015	ROSACEA,TREATMENT	metagenome	Topical ivermectin treatment of rosacea changes the bacterial microbiome of the skin	biosamplemodel;chem_administration;collection_date;dermatology_disord;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;host_subject_id;lat_lon;sample_name
PRJEB5729	9	AMPLICON:9	47125	-	human gut metagenome	Flores_fecal_EBI	"""public"";age;age_unit;altitude;ambiguoustimepoint;anonymized_name;antibiotic_disturbance;antibiotics;anytimeseries;appendix;artificialtanning;assigned_from_geo"
PRJEB5728	9	AMPLICON:9	56184	-	human skin metagenome	Flores_forehead_EBI	"""public"";age;age_unit;altitude;ambiguoustimepoint;anonymized_name;antibiotic_disturbance;antibiotics;anytimeseries;appendix;artificialtanning;assigned_from_geo"
PRJEB5727	9	AMPLICON:9	48905	-	human skin metagenome	Flores_palm_EBI	"""public"";age;age_unit;altitude;ambiguoustimepoint;anonymized_name;antibiotic_disturbance;antibiotics;anytimeseries;appendix;artificialtanning;assigned_from_geo"
PRJEB5726	9	AMPLICON:9	56653	-	metagenomes	Flores_tongue_EBI	"""public"";age_unit;altitude;ambiguoustimepoint;anonymized_name;antibiotic_disturbance;anytimeseries;assigned_from_geo;bodysite;common_name;control;depth"
PRJEB13411	7	WGA:7	659761	DEMODEX	Demodex folliculorum	Genome assembly of Demodex folliculorum strain MAP, isolated from the nose area	collected by;collection date;ena-first-public;ena-last-update;external id;host scientific name;identified by;insdc center name;insdc first public;insdc last update;insdc status;isolate
PRJNA813234	6	RNA-Seq:6	239401431	DEMODEX	Mus musculus	Innate type 2 immunity controls hair follicle commensalism by Demodex mites [2019]	age;cell type;genotype;infection;source_name;strain;tissue
PRJNA813233	4	RNA-Seq:4	266456594	DEMODEX	Mus musculus	Innate type 2 immunity controls hair follicle commensalism by Demodex mites [2021]	age;cell type;genotype;infection;source_name;strain;tissue
PRJNA816363	4	RNA-Seq:4	254530782	DEMODEX	Mus musculus	Innate type 2 immunity controls hair follicle commensalism by Demodex mites [IL-4, IL-13]	age;cell type;genotype;source_name;strain;tissue;treatment
PRJEB11170	3	OTHER:3	89072	-	metagenome	American Gut round 20	altitude;anonymized name;collection date;collection_timestamp;common name;country;dna_extracted;elevation;ena-first-public;ena-last-update;env biome;env feature
PRJNA510717	2	RNA-Seq:2	33544592	DEMODEX	Demodex brevis	The transcriptome sequencing of human Demodex.	biosamplemodel;breed;collected_by;collection_date;geo_loc_name;host;tissue
PRJNA1049642	1	AMPLICON:1	112077	-	sponge metagenome	Metataxonomic of sponges from Mediterranean Sea	biosamplemodel;collection_date;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host_dependence;host_life_stage;isol_growth_condt;isolation_source;lat_lon;sym_life_cycle_type
PRJNA318594	1	WGS:1	1041863	-	Staphylococcus pseudintermedius	Vet-LIRN-Staph-SD	biosamplemodel;collected_by;collection_date;geo_loc_name;host;host_disease;intended_consumer;isolation_source;project_name;purpose_of_sampling;sequenced_by;source_type
PRJNA657256	1	AMPLICON:1	79399	DEMODEX	Homo sapiens	microbial community	age;biomaterial_provider;biosamplemodel;isolate;sex;tissue
PRJNA630526	1	RNA-Seq:1	32677583	DEMODEX	Demodex canis	The transcriptome sequencing of Demodex canis	biosamplemodel;breed;collected_by;collection_date;geo_loc_name;host;isolate;tissue
PRJNA562547	1	AMPLICON:1	33839	16S	feces metagenome	C. difficile and the host fecal microbiota in domestic animals	biosamplemodel;c_difficile_lab;c_difficile_ribotype;c_difficile_toxigenic;collection_date;env_broad_scale;env_local_scale;env_medium;geo_loc_name;host;host_age_reported;host_age_years
